ticker,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
AMZN,2019-12-31,USD,38514000000,4008000000,None,9904000000,3278000000,21789000000,16861000000,-7681000000,3278000000,11588000000,-24281000000,-10066000000,None,None,None,None,None,None,None,None,2273000000,None,None,None,4237000000,70000000,11588000000
AMZN,2018-12-31,USD,30723000000,0,None,4414000000,1314000000,15341000000,13427000000,-4615000000,1314000000,10073000000,-12369000000,-7686000000,None,None,None,None,None,None,None,None,768000000,None,None,None,10317000000,-351000000,10073000000
AMZN,2017-12-31,USD,18365000000,0,None,7913000000,3583000000,11478000000,11955000000,-4786000000,3583000000,3033000000,-27084000000,9928000000,None,None,None,None,None,None,None,None,16231000000,None,None,None,1188000000,713000000,3033000000
AMZN,2016-12-31,USD,17203000000,1119000000,None,16961000000,1426000000,8116000000,7804000000,-3367000000,1426000000,2371000000,-9516000000,-3716000000,None,None,None,None,None,None,None,None,621000000,None,None,None,3444000000,-212000000,2371000000
TSLA,2020-12-31,USD,5943000000,1115000000,None,2918000000,1669000000,2149000000,3167000000,652000000,422000000,862000000,-3132000000,9973000000,None,None,None,None,None,None,None,12269000000,None,None,12686000000,None,12784000000,None,721000000
TSLA,2019-12-31,USD,2405000000,1009000000,None,1592000000,969000000,1901000000,1332000000,367000000,429000000,-775000000,-1436000000,1529000000,None,None,None,None,None,None,None,848000000,None,174000000,1285000000,None,2498000000,None,-862000000
TSLA,2018-12-31,USD,2098000000,443545000,None,2289477000,1602121000,1268730000,2100724000,496732000,1023000000,-1063000000,-2337000000,574000000,None,None,11000,None,None,None,None,None,None,None,295711000,None,334129000,None,-976000000
TSLA,2017-12-31,USD,-61000000,248266000,None,639372000,275569000,769300000,3414814000,24635000,179000000,-2241000000,-4196000000,4415000000,511321000,None,230385000,None,None,None,None,400000000,None,52883000,481789000,None,-25302000,39455000,-1962000000
TSLA,2016-12-31,USD,-123829000,55078000,None,1271058000,209112000,477300000,1280802000,213097000,632867000,-773046000,-1081085000,3743976000,769709000,None,None,None,None,None,None,1701734000,None,None,1865551000,None,2196308000,-7409000,-674914000
FB,2020-12-31,USD,38747000000,1222000000,None,-1312000000,1411000000,6862000000,15115000000,1512000000,None,29146000000,-30059000000,-10292000000,24000000,6272000000,6272000000,None,None,None,None,None,None,None,-6272000000,None,-1604000000,None,29146000000
FB,2019-12-31,USD,36314000000,914000000,None,9123000000,1873000000,5741000000,15102000000,1961000000,None,18485000000,-19864000000,-7299000000,-223000000,4202000000,4202000000,None,None,None,None,None,None,None,-4202000000,None,9151000000,None,18485000000
FB,2018-12-31,USD,29274000000,1000000,None,1057000000,2741000000,4315000000,13915000000,1892000000,None,22112000000,-11603000000,-15572000000,500000000,12879000000,12879000000,None,None,None,None,None,None,None,-12879000000,None,2099000000,None,22112000000
FB,2017-12-31,USD,24216000000,0,None,3439000000,1647000000,3025000000,6733000000,1609000000,None,15934000000,-20118000000,-5235000000,0,1976000000,1976000000,None,None,None,None,None,None,None,-1976000000,None,-824000000,233000000,15934000000
FB,2016-12-31,USD,16108000000,11000000,None,2325000000,1634000000,2342000000,4491000000,1489000000,None,10217000000,-11792000000,-310000000,0,0,0,None,None,None,None,None,None,None,None,None,3996000000,-63000000,10217000000
NVDA,2021-01-31,USD,5822000000,279000000,None,526000000,1468000000,1098000000,1128000000,550000000,524000000,4332000000,-19675000000,3804000000,None,0,0,None,395000000,395000000,None,None,None,None,None,None,-10049000000,None,4332000000
NVDA,2020-01-26,USD,4761000000,157000000,None,222000000,-441000000,380000000,489000000,233000000,-597000000,2796000000,6145000000,-792000000,None,0,0,None,390000000,390000000,None,None,0,None,149000000,None,10114000000,None,2796000000
NVDA,2019-01-27,USD,3743000000,55000000,None,211000000,980000000,262000000,600000000,149000000,776000000,4141000000,-4097000000,-2866000000,None,1579000000,1579000000,None,371000000,371000000,None,None,0,None,-1579000000,None,-3220000000,None,4141000000
NVDA,2018-01-28,USD,3502000000,55000000,None,571000000,419000000,201000000,593000000,440000000,0,3047000000,1278000000,-2544000000,None,909000000,909000000,None,341000000,341000000,None,None,0,None,-909000000,None,2236000000,None,3047000000
NVDA,2017-01-29,USD,1672000000,42000000,None,170000000,714000000,210000000,176000000,321000000,375000000,1666000000,-793000000,291000000,None,739000000,739000000,None,261000000,261000000,None,None,0,None,-739000000,None,1170000000,None,1666000000
BRK-B,2020-12-31,USD,39773000000,None,None,9782000000,2718000000,10596000000,13012000000,1609000000,None,43253000000,-37757000000,-18344000000,-1118000000,24706000000,24706000000,None,8296000000,8296000000,None,None,None,None,-24706000000,None,-16328000000,None,42521000000
BRK-B,2019-12-31,USD,38687000000,None,None,7984000000,4314000000,10064000000,15979000000,2303000000,None,81792000000,-5621000000,730000000,266000000,4850000000,4850000000,None,None,None,None,None,None,None,-4850000000,None,33796000000,None,81417000000
BRK-B,2018-12-31,USD,37400000000,None,None,7245000000,5275000000,9779000000,14537000000,3443000000,None,4322000000,-32849000000,-5812000000,-1943000000,1346000000,1346000000,None,None,None,None,None,None,None,-1346000000,None,-1261000000,None,4021000000
BRK-B,2017-12-31,USD,45728000000,None,None,26788000000,1990000000,9188000000,11708000000,1990000000,None,45353000000,-41009000000,-1398000000,2079000000,None,None,None,None,None,None,None,None,None,-31583000000,None,3535000000,248000000,44940000000
BRK-B,2016-12-31,USD,32647000000,26986000000,None,5340000000,3302000000,8901000000,12954000000,3302000000,None,24427000000,-84225000000,12791000000,130000000,None,None,None,None,None,None,None,None,None,-28048000000,None,-39113000000,-172000000,24074000000
JPM,2020-12-31,USD,-79910000000,14703000000,None,77198000000,378421000000,8614000000,None,-18012000000,None,29131000000,-261912000000,596645000000,35966000000,6517000000,6517000000,None,12690000000,12690000000,None,None,78686000000,4500000000,-2017000000,None,254823000000,None,29131000000
JPM,2019-12-31,USD,4092000000,31490000000,None,-14516000000,117212000000,8368000000,None,-78000000,None,36431000000,-52059000000,32987000000,-27214000000,24001000000,24001000000,None,12343000000,12343000000,None,None,61085000000,5000000000,-19001000000,None,-14980000000,None,36431000000
JPM,2018-12-31,USD,15614000000,21152000000,None,18290000000,156206000000,7791000000,None,-5849000000,None,32474000000,-199420000000,34158000000,41891000000,19983000000,19983000000,None,10109000000,10109000000,None,None,71662000000,1696000000,-18287000000,None,-152511000000,-2863000000,32474000000
JPM,2017-12-31,USD,-10827000000,14153000000,None,-26256000000,93290000000,6179000000,None,-15868000000,None,24441000000,28249000000,14642000000,16540000000,15410000000,15410000000,None,8993000000,8993000000,None,None,56271000000,1258000000,-14152000000,None,40150000000,8086000000,24441000000
JPM,2016-12-31,USD,21884000000,9508000000,None,5198000000,83318000000,5478000000,None,-5815000000,None,24733000000,-89202000000,98271000000,-2461000000,9082000000,0,None,8476000000,8476000000,None,None,83070000000,0,0,None,29471000000,-1482000000,24733000000
V,2020-09-30,USD,10440000000,537000000,None,944000000,445000000,80000000,736000000,43000000,None,10866000000,1427000000,-3968000000,None,8114000000,8114000000,None,2664000000,2664000000,None,None,None,None,-7924000000,None,8339000000,440000000,10866000000
V,2019-09-30,USD,12784000000,537000000,None,603000000,643000000,60000000,756000000,333000000,None,12080000000,-591000000,-12061000000,None,8607000000,8607000000,None,2269000000,2269000000,None,None,None,None,-8445000000,None,-145000000,-277000000,12080000000
V,2018-09-30,USD,12941000000,0,None,1764000000,230000000,55000000,718000000,70000000,None,10301000000,-3084000000,-10790000000,None,7192000000,7192000000,None,1918000000,1918000000,None,None,None,None,164000000,None,-1712000000,-101000000,10301000000
V,2017-09-30,USD,9317000000,489000000,None,435000000,314000000,56000000,707000000,54000000,None,6699000000,735000000,-5924000000,None,6891000000,6891000000,None,1579000000,1579000000,None,None,None,None,149000000,None,4255000000,236000000,6699000000
V,2016-09-30,USD,5574000000,307000000,None,320000000,383000000,50000000,523000000,65000000,None,5991000000,-10916000000,7477000000,None,7157000000,None,None,1350000000,None,None,None,None,None,95000000,None,2101000000,-34000000,5991000000
JNJ,2019-12-31,USD,23416000000,5116000000,None,5485000000,1620000000,7009000000,3498000000,289000000,277000000,15119000000,-6194000000,-18015000000,-61000000,6746000000,6746000000,None,9917000000,9917000000,None,None,3000000,None,-6746000000,None,-793000000,None,15119000000
JNJ,2018-12-31,USD,22201000000,5619000000,None,2107000000,2104000000,6929000000,3670000000,1185000000,644000000,15297000000,-3167000000,-18510000000,-2399000000,5868000000,5868000000,None,9494000000,9494000000,None,None,5000000,None,-5868000000,None,283000000,-241000000,15297000000
JNJ,2017-12-31,USD,21056000000,4272000000,None,11704000000,463000000,5642000000,3279000000,633000000,-581000000,1300000000,-14868000000,-7673000000,-461000000,6358000000,6358000000,None,8943000000,8943000000,None,None,8992000000,None,-6358000000,None,-1148000000,337000000,1300000000
JNJ,2016-12-31,USD,18767000000,3573000000,None,70000000,1843000000,3754000000,3226000000,1065000000,249000000,16540000000,-4761000000,-8551000000,-1906000000,8979000000,8979000000,None,8621000000,8621000000,None,None,12004000000,None,-8979000000,None,5240000000,-215000000,16540000000
JNJ,2015-12-31,USD,19569000000,3482000000,None,2446000000,817000000,3746000000,3463000000,433000000,449000000,15409000000,-7735000000,-11136000000,1372000000,5290000000,5290000000,None,8173000000,None,None,None,75000000,None,-5290000000,None,-791000000,-1489000000,15409000000
UNH,2020-12-31,USD,22174000000,162099000000,None,5500000000,2883000000,2097000000,2051000000,688000000,None,15769000000,-12532000000,-3590000000,872000000,4250000000,4250000000,None,4584000000,4584000000,None,1440000000,4864000000,None,-2810000000,None,5936000000,-116000000,15403000000
UNH,2019-12-31,USD,18463000000,157693000000,None,1954000000,1401000000,1995000000,2071000000,-162000000,None,14239000000,-12699000000,-5625000000,300000000,5500000000,5500000000,None,3932000000,3932000000,None,1037000000,5444000000,None,-4463000000,None,119000000,-20000000,13839000000
UNH,2018-12-31,USD,15713000000,143722000000,None,2357000000,2101000000,1822000000,2063000000,1351000000,None,12382000000,-12385000000,-4365000000,-201000000,4500000000,4500000000,None,3320000000,3320000000,None,838000000,6935000000,None,-3662000000,None,-1115000000,-78000000,11986000000
UNH,2017-12-31,USD,13596000000,129772000000,None,5543000000,1692000000,1695000000,2023000000,1062000000,None,10823000000,-8599000000,-3441000000,-3508000000,1500000000,1500000000,None,2773000000,2773000000,None,688000000,5291000000,None,-812000000,None,1551000000,-5000000,10558000000
UNH,2016-12-31,USD,9795000000,116032000000,None,4833000000,2958000000,1580000000,1705000000,1357000000,None,7073000000,-9355000000,-1011000000,-382000000,1280000000,1280000000,None,2261000000,2261000000,None,429000000,3968000000,None,-851000000,None,-493000000,78000000,7017000000
WMT,2021-01-31,USD,36074000000,10402000000,None,11453000000,484000000,583000000,10264000000,-1086000000,2395000000,13706000000,-10071000000,-16117000000,-324000000,2625000000,2625000000,None,6550000000,6116000000,None,None,0,None,-2625000000,None,9886000000,None,13510000000
WMT,2020-01-31,USD,25255000000,8972000000,None,-181000000,-20000000,480000000,10705000000,154000000,300000000,15201000000,-9128000000,-14299000000,-4656000000,5717000000,5717000000,None,6048000000,6048000000,None,None,5492000000,None,-5717000000,None,1828000000,None,14881000000
WMT,2019-01-31,USD,27753000000,3982000000,None,1974000000,1810000000,10678000000,10344000000,-368000000,1311000000,7179000000,-24036000000,-2537000000,-53000000,7410000000,7410000000,None,6102000000,6102000000,None,None,15872000000,None,-7410000000,None,1180000000,None,6670000000
WMT,2018-01-31,USD,28337000000,8629000000,None,4457000000,444000000,10529000000,10051000000,-1074000000,140000000,10523000000,-9079000000,-19875000000,4148000000,8296000000,8296000000,None,6124000000,6124000000,None,None,7476000000,None,-8296000000,None,-111000000,487000000,9862000000
