ticker,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
JPM,2020-12-31,USD,3384757000000,535482000000,527609000000,527609000000,333000000,None,94063000000,27109000000,None,49248000000,4180000000,49248000000,1790848000000,388178000000,355951000000,2299244000000,-930253000000,3105403000000,53509000000,None,None,45208000000,45208000000,3800000000,None,281683000000,45208000000,204800000000,326891000000,2144257000000,497127000000,279354000000,88184000000,236990000000,4105000000,3049400000
JPM,2019-12-31,USD,2687379000000,270695000000,263631000000,263631000000,238000000,None,90426000000,25813000000,None,47823000000,5518000000,47823000000,1513001000000,809342000000,361337000000,621220000000,591356000000,2426049000000,50609000000,None,None,40920000000,40920000000,2800000000,None,291483000000,40920000000,215500000000,332403000000,1975256000000,475620000000,261330000000,83049000000,223211000000,4105000000,3084000000
JPM,2018-12-31,USD,2622532000000,290781000000,278793000000,278793000000,226000000,None,70305000000,14934000000,None,47471000000,6878000000,47471000000,428036000000,675542000000,359501000000,-458776000000,1714062000000,2366017000000,82016000000,None,None,69276000000,69276000000,2300000000,None,282046000000,69276000000,227100000000,351322000000,1899916000000,464663000000,256515000000,60494000000,199202000000,4105000000,3275800000
JPM,2017-12-31,USD,2533600000000,433472000000,431304000000,430121000000,265000000,None,69466000000,14159000000,None,47507000000,6885000000,47507000000,411593000000,575279000000,325321000000,-595119000000,1715256000000,2277907000000,75116000000,None,None,51802000000,51802000000,2400000000,None,284099000000,24186000000,236600000000,335901000000,1839298000000,443345000000,255693000000,42595000000,177676000000,4105000000,3425300000
JPM,2016-12-31,USD,2490972000000,392263000000,391154000000,389635000000,349000000,None,71081000000,14131000000,None,48150000000,862000000,47288000000,353137000000,661189000000,308052000000,170667000000,1612815000000,2236782000000,186076000000,None,None,186076000000,34443000000,2800000000,None,297590000000,11738000000,257500000000,483666000000,1375179000000,460911000000,254190000000,28854000000,162440000000,4105000000,3561200000
V,2020-09-30,USD,80919000000,27645000000,16289000000,20935000000,None,1711000000,50099000000,2737000000,4424000000,43718000000,27808000000,15910000000,3752000000,231000000,4646000000,4722000000,3413000000,44709000000,14510000000,174000000,533000000,2999000000,2999000000,32999000000,None,24070000000,2999000000,21071000000,24070000000,11337000000,3891000000,36210000000,None,14088000000,194000,1939000000
V,2019-09-30,USD,72574000000,20970000000,7838000000,12666000000,None,1672000000,49520000000,2695000000,3875000000,42436000000,26780000000,15656000000,4236000000,2157000000,4828000000,4306000000,2232000000,37890000000,13415000000,156000000,None,None,0,10246000000,None,16729000000,0,16729000000,16729000000,13259000000,2939000000,34684000000,None,13502000000,198000,1974000000
V,2018-09-30,USD,69225000000,18216000000,8162000000,8162000000,None,1290000000,50471000000,2472000000,3225000000,42752000000,27558000000,15194000000,3547000000,4082000000,3571000000,3717000000,1165000000,35219000000,11305000000,183000000,None,None,2168000000,5066000000,None,16630000000,0,16630000000,16630000000,11122000000,2666000000,34006000000,None,11318000000,None,2025000000
V,2017-09-30,USD,67977000000,19023000000,9874000000,13438000000,None,1280000000,50289000000,2253000000,2890000000,42958000000,27848000000,15110000000,5490000000,1926000000,3564000000,3031000000,1226000000,35217000000,9994000000,179000000,None,1749000000,1749000000,2580000000,None,16618000000,1749000000,16618000000,16618000000,8066000000,1321000000,32760000000,0,9508000000,None,2076000000
V,2016-09-30,USD,64035000000,14313000000,5619000000,8938000000,None,1273000000,53299000000,2150000000,2648000000,42300000000,27234000000,15066000000,7250000000,3931000000,3319000000,122000000,893000000,31123000000,8046000000,203000000,None,0,0,2187000000,None,15882000000,0,15882000000,15882000000,None,1162000000,32912000000,170000000,10462000000,None,2133000000
